opponent_team,opponent_team_name
9,LEI
12,MUN
18,WAT
16,SWA
10,LIV
15,STK
2,BOU
20,WHU
8,HUD
1,ARS
6,CRY
17,TOT
14,SOU
4,BUR
3,BHA
19,WBA
11,MCI
13,NEW
5,CHE
7,SOU
