opponent_team,opponent_team_name
9,FUL
12,LIV
18,WAT
16,SOU
10,HUD
15,NEW
2,BOU
20,WOL
8,EVE
1,ARS
6,CHE
17,TOT
14,MUN
4,BUR
3,BHA
19,WHU
11,LEI
13,MCI
5,CAR
7,CRY
